"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"PSU SVEF_Muthersbaugh_5",5,1,40.65371,-77.89417,"PSU SVEF_Muthersbaugh",5
"PSU SVEF_Muthersbaugh_6",6,1,40.65461,-77.89266,"PSU SVEF_Muthersbaugh",6
"PSU SVEF_Red Rose_1",7,1,40.67217,-77.90056,"PSU SVEF_Red Rose",1
"PSU SVEF_Red Rose_2",5,1,40.6735,-77.89829,"PSU SVEF_Red Rose",2
"PSU SVEF_Red Rose_3",6,1,40.67499,-77.89905,"PSU SVEF_Red Rose",3
"PSU SVEF_Red Rose_4",10,1,40.67634,-77.89591,"PSU SVEF_Red Rose",4
"PSU SVEF_Red Rose_5",11,1,40.67742,-77.89258,"PSU SVEF_Red Rose",5
"PSU SVEF_Woodcock trail_1",5,1,40.67802,-77.90608,"PSU SVEF_Woodcock trail",1
"PSU SVEF_Woodcock trail_2",6,1,40.6805,-77.90689,"PSU SVEF_Woodcock trail",2
"PSU SVEF_Woodcock trail_3",3,1,40.680862,-77.9053,"PSU SVEF_Woodcock trail",3
"PSU SVEF_Woodcock trail_4",2,1,40.68246,-77.90424,"PSU SVEF_Woodcock trail",4
"PSU SVEF_Woodcock trail_5",1,1,40.6769,-77.9048,"PSU SVEF_Woodcock trail",5
"420_420 South_1",5,1,40.36192,-78.17761,"420_420 South",1
"420_420 South_2",2,1,40.36537,-78.17443,"420_420 South",2
"420_420 South_3",4,1,40.36888,-78.17105,"420_420 South",3
"420_420 South_4",9,1,40.37246,-78.16765,"420_420 South",4
"420_420 South_5",5,1,40.37598,-78.16772,"420_420 South",5
"420_420 South_6",0,0,40.37906,-78.16683,"420_420 South",6
"420_420 South_7",0,0,40.37608,-78.16287,"420_420 South",7
"420_420 South_8",3,1,40.38231,-78.14992,"420_420 South",8
"420_420 South_9",0,0,40.37988,-78.15405,"420_420 South",9
"420_420 South_10",0,0,40.37748,-78.1586,"420_420 South",10
"PSU SVEF_Grouseless Bottom_1",2,1,40.645405,-77.931299,"PSU SVEF_Grouseless Bottom",1
"PSU SVEF_Grouseless Bottom_2",0,0,40.64636,-77.92698,"PSU SVEF_Grouseless Bottom",2
"PSU SVEF_Grouseless Bottom_3",0,0,40.649332,-77.92473,"PSU SVEF_Grouseless Bottom",3
"PSU SVEF_HUTCH HILL_1",0,0,40.647252,-77.933158,"PSU SVEF_HUTCH HILL",1
"PSU SVEF_HUTCH HILL_2",0,0,40.64848,-77.93169,"PSU SVEF_HUTCH HILL",2
"PSU SVEF_HUTCH HILL_3",0,0,40.65012,-77.930155,"PSU SVEF_HUTCH HILL",3
"PSU SVEF_HUTCH HILL_4",0,0,40.655607,-77.926639,"PSU SVEF_HUTCH HILL",4
"PSU SVEF_Manor Hill_1",2,1,40.615498,-77.909188,"PSU SVEF_Manor Hill",1
"166_BEAVER DAMS_1",2,1,40.55735,-78.21355,"166_BEAVER DAMS",1
"166_BEAVER DAMS_2",3,1,40.55333,-78.21577,"166_BEAVER DAMS",2
"166_BEAVER DAMS_3",2,1,40.55138,-78.22032,"166_BEAVER DAMS",3
"166_BEAVER DAMS_4",1,1,40.55077,-78.22574,"166_BEAVER DAMS",4
"166_BEAVER DAMS_5",1,1,40.54846,-78.23028,"166_BEAVER DAMS",5
"166_BEAVER DAMS_6",0,0,40.54553,-78.23485,"166_BEAVER DAMS",6
"166_BEAVER DAMS_7",0,0,40.54242,-78.23888,"166_BEAVER DAMS",7
"166_BEAVER DAMS_8",0,0,40.53904,-78.24232,"166_BEAVER DAMS",8
